id_transaction,type_transaction,reference_transaction,cree_le,cree_par_id_utilisateur,statut,notes,no_ligne,id_produit,quantite,id_emplacement_source,id_emplacement_destination,lot_serie,code_motif,sku,nom_produit,unite_mesure,categorie,actif,colisage fardeau,colisage palette,volume pcs (m3),Poids(kg),Is_Gerbable
texte,texte,texte,datetime,texte,texte,texte,entier,texte,nombre,texte,texte,texte,texte,texte,texte,texte,texte,booleen,nombre,nombre,nombre,nombre,booleen
O,O,O,O,O,O,N,O,O,O,O,O,N,N,O,O,O,N,O,O,N,O,N,N
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31851,80,54,COSTUMER LOCATION,,,,,Unité(s),MODULE,True,80,1800,0.037,0,True
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31501,120,609,COSTUMER LOCATION,,,,,Unité(s),DISPINA METALIC,True,120,2100,0.037,0,True
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31501,480,610,COSTUMER LOCATION,,,,,Unité(s),DISPINA METALIC,True,120,2100,0.037,0,True
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31490,160,35,COSTUMER LOCATION,,,,,Unité(s),DISPINA METALIC,True,80,2500,0.037,0,True
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31496,40,39,COSTUMER LOCATION,,,,,Unité(s),DISPINA METALIC,True,40,2100,0.037,0,True
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31474,100,531,COSTUMER LOCATION,,,,,Unité(s),DISPINA,True,50,2500,0.037,0,False
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31472,100,631,COSTUMER LOCATION,,,,,Unité(s),DISPINA,True,50,1100,0.037,0,False
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005,,31480,30,559,COSTUMER LOCATION,,,,,Unité(s),DISPINA,True,30,1700,0.037,0,False
