id_produit,order_frequency,avg_quantity,std_quantity,total_quantity,cv
31334,738,27.90108401084011,115.0903000976666,20591.0,3.98221395621351
31335,738,21.696476964769648,87.6073484619414,16012.0,3.859953621785836
31336,738,28.922764227642276,94.96026875779258,21345.0,3.1735125817710874
31337,738,10.74119241192412,45.27464159970705,7927.0,3.856051413800785
31338,738,36.05420054200542,97.5858932237644,26608.0,2.6335986688780126
31339,738,2.8279132791327912,14.503223100651082,2087.0,3.7888066011612387
31340,738,0.48509485094850946,7.781648387020171,358.0,5.239832581770881
31341,738,6.130081300813008,68.74229215156548,4524.0,9.64116526185012
31342,738,40.52439024390244,113.30556936960532,29907.0,2.7286510097819785
31343,738,31.489159891598916,89.100315557244,23239.0,2.7424628969948732
31344,738,9.082655826558266,43.54242707080677,6703.0,4.318547396620803
31347,738,3.52710027100271,24.177710391506256,2603.0,5.3406615590935695
31348,738,2.3089430894308944,19.52869235082023,1704.0,5.901791545825278
31349,738,5.1531165311653115,37.572285786230005,3803.0,6.106220416260238
31350,738,2.9200542005420056,23.477067629384003,2155.0,5.988965057202003
31351,738,1.6287262872628727,12.655774072390201,1202.0,4.814413023414417
31352,738,0.4173441734417344,6.629306464396356,308.0,4.677273585778691
31353,738,12.09349593495935,59.727451406651426,8925.0,4.561612246518551
31354,738,12.964769647696476,71.1104124000893,9568.0,5.092129279183573
31355,738,17.12330623306233,81.67102971776355,12637.0,4.506408966856785
31356,738,6.178861788617886,27.0522483119214,4560.0,3.7683199800298213
31357,738,13.02710027100271,159.96889732461895,9614.0,11.404274171712595
31358,738,2.7439024390243905,24.24218033531094,2025.0,6.47511005698859
31360,738,3.779132791327913,25.91634068651202,2789.0,5.4228124260407915
31361,738,1.7981029810298104,13.404110294503301,1327.0,4.790427795323698
31362,738,1.2235772357723578,13.728226117822318,903.0,6.173937157192487
31363,738,0.8157181571815718,10.38675035792222,602.0,5.7204640030944764
31364,738,1.7100271002710028,25.812284102394166,1262.0,9.524732833783448
31365,738,0.4105691056910569,6.367168753763998,303.0,4.513900615060356
31366,738,0.7466124661246613,9.890143972838857,551.0,5.662471878941099
31367,738,0.12601626016260162,2.356111740630094,93.0,2.092431365324921
