id_produit,date,segment,quantite_demande,forecast,method
31551,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,100,159.6759490966797,XGBoost+LogTransform
31554,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,1000,452.9504699707031,XGBoost+LogTransform
31557,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,263.7615966796875,XGBoost+LogTransform
31565,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,1000,287.5523376464844,XGBoost+LogTransform
31569,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,400,238.7106475830078,XGBoost+LogTransform
31723,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,385.72802734375,XGBoost+LogTransform
31724,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,200.74864196777344,XGBoost+LogTransform
31725,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,566.6781616210938,XGBoost+LogTransform
31729,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,150,202.00169372558594,XGBoost+LogTransform
31730,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,120,138.38987731933594,XGBoost+LogTransform
31731,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,246.85232543945312,XGBoost+LogTransform
31732,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,600,339.1642761230469,XGBoost+LogTransform
31757,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,240,61.022056579589844,XGBoost+LogTransform
31985,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,80,111.3219985961914,XGBoost+LogTransform
31993,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,275.7062072753906,XGBoost+LogTransform
32000,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,40,51.34959411621094,XGBoost+LogTransform
32001,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,90,130.3112030029297,XGBoost+LogTransform
32002,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,90,78.70840454101562,XGBoost+LogTransform
32079,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,48,36.780479431152344,XGBoost+LogTransform
32080,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,30,26.645830154418945,XGBoost+LogTransform
32084,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,48,42.696006774902344,XGBoost+LogTransform
32085,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,48,24.62888526916504,XGBoost+LogTransform
34013,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,228.9199676513672,XGBoost+LogTransform
34014,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,100,169.6215057373047,XGBoost+LogTransform
34015,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,500,510.944580078125,XGBoost+LogTransform
34016,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,700,655.5444946289062,XGBoost+LogTransform
34017,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,100,153.5587158203125,XGBoost+LogTransform
34018,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,205.71119689941406,XGBoost+LogTransform
34403,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,94.2701416015625,XGBoost+LogTransform
34408,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,50,15.232292175292969,XGBoost+LogTransform
35574,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,500,291.7054443359375,XGBoost+LogTransform
35576,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,304.55487060546875,XGBoost+LogTransform
35580,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,239.22511291503906,XGBoost+LogTransform
35584,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,500,501.66619873046875,XGBoost+LogTransform
35585,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,305.1297607421875,XGBoost+LogTransform
35586,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,135.36773681640625,XGBoost+LogTransform
36155,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,24,18.8729190826416,XGBoost+LogTransform
32078,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,30,20.518985748291016,XGBoost+LogTransform
32081,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,30,15.999481201171875,XGBoost+LogTransform
32082,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,27,19.221025466918945,XGBoost+LogTransform
32083,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,12,5.403251647949219,XGBoost+LogTransform
36498,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,24,16.770069122314453,XGBoost+LogTransform
36658,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,18,19.234012603759766,XGBoost+LogTransform
38744,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,18,30.141695022583008,XGBoost+LogTransform
35996,2026-01-08 12:10:40,C_MEDIUM_FREQ,100,73.0,Baseline_30day_Average
35997,2026-01-08 12:10:40,C_MEDIUM_FREQ,100,143.0,Baseline_30day_Average
35998,2026-01-08 12:10:40,C_MEDIUM_FREQ,100,104.0,Baseline_30day_Average
44046,2026-01-08 12:10:40,D_LOW_FREQ,160,76.52,Croston_Method
